YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 09 07 06 50  20  0.7  1.3  1.80 12.12  7.33 283 1019.6  17.2  17.7 999.0 99.0 99.00
2013 09 07 07 50 345  2.0  2.6  1.95  9.09  7.51 329 1019.1  17.3  17.6 999.0 99.0 99.00
2013 09 07 08 50  43  2.6  3.5  1.89  9.09  7.26 327 1018.8  17.2  17.6 999.0 99.0 99.00
2013 09 07 09 50  69  2.0  2.9  1.90 11.43  7.59 296 1018.4  16.5  17.6 999.0 99.0 99.00
2013 09 07 10 50  52  1.4  2.1  1.90 11.43  7.31 302 1018.2  16.5  17.5 999.0 99.0 99.00
2013 09 07 11 50  54  2.9  3.7  1.90 10.81  7.09 308 1017.8  16.1  17.4 999.0 99.0 99.00
2013 09 07 12 50  53  3.3  4.3  1.94 12.12  7.39 302 1017.7  16.3  17.4 999.0 99.0 99.00
2013 09 07 13 50  22  1.6  2.4  1.72 10.00  6.98 305 1017.7  16.4  17.3 999.0 99.0 99.00
2013 09 07 14 50  19  2.9  3.6  1.68  9.09  6.98 307 1017.7  16.5  17.3 999.0 99.0 99.00
2013 09 07 15 50  18  3.5  4.4  1.65  9.09  7.09 322 1017.7  16.6  17.3 999.0 99.0 99.00
2013 09 07 16 50  18  3.7  4.3  1.50 10.00  7.03 308 1017.7  16.5  17.4 999.0 99.0 99.00
2013 09 07 17 50  18  4.2  4.8  1.51 12.12  7.28 303 1017.5  16.6  17.4 999.0 99.0 99.00
2013 09 07 18 50  15  4.1  4.8  1.54 10.00  7.29 307 1017.3  16.5  17.5 999.0 99.0 99.00
2013 09 07 19 50   5  4.9  6.3  1.64 10.81  7.51 292 1017.2  16.8  17.6 999.0 99.0 99.00
2013 09 07 20 50   3  5.6  6.4  1.56 12.12  7.24 295 1016.7  16.9  17.6 999.0 99.0 99.00
2013 09 07 21 50 352  6.2  7.3  1.40 10.81  6.52 294 1016.4  17.0  17.8 999.0 99.0 99.00
2013 09 07 22 50 352  6.9  8.0  1.49 11.43  6.63 300 1016.2  17.2  17.7 999.0 99.0 99.00
2013 09 07 23 50 349  7.3  8.5  1.44  8.33  5.84 311 1016.1  17.3  17.5 999.0 99.0 99.00
2013 09 08 00 50 350  8.3  9.5  1.42 10.81  5.52 273 1015.8  17.4  17.4 999.0 99.0 99.00
2013 09 08 01 50 355  7.9  9.3  1.45 10.81  5.10 305 1015.7  17.3  17.3 999.0 99.0 99.00
2013 09 08 02 50 353  8.4 10.1  1.51  9.09  5.13 312 1015.7  17.1  17.3 999.0 99.0 99.00
2013 09 08 03 50 357  8.6 10.3  1.47 10.81  4.73 316 1016.2  17.2  17.2 999.0 99.0 99.00
2013 09 08 04 50 360  8.4 10.0  1.62 10.00  5.16 302 1016.6  17.3  17.3 999.0 99.0 99.00
2013 09 08 05 50   1  8.4  9.9  1.54 10.00  5.09 309 1016.5  17.2  17.2 999.0 99.0 99.00
2013 09 08 06 50 356  8.8 10.6  1.51 10.81  5.19 297 1016.6  17.2  17.2 999.0 99.0 99.00
2013 09 08 07 50 359  8.6 10.4  1.46 10.00  4.88 314 1016.5  17.1  17.1 999.0 99.0 99.00
2013 09 08 08 50 358  8.5 10.2  1.59 11.43  5.23 280 1016.6  17.1  17.2 999.0 99.0 99.00
2013 09 08 09 50 359  8.4 10.2  1.58 11.43  5.14 321 1016.7  17.1  17.1 999.0 99.0 99.00
2013 09 08 10 50 354  9.1 10.7  1.61  6.67  5.22 321 1016.8  17.1  17.1 999.0 99.0 99.00
2013 09 08 11 50 358  8.8 10.5  1.56  6.25  5.05 330 1016.9  17.1  17.0 999.0 99.0 99.00
2013 09 08 12 50   5  8.5 10.1  1.51 10.81  5.01 308 1017.2  16.9  16.9 999.0 99.0 99.00
2013 09 08 13 50   7  9.3 11.1  1.63  5.88  5.02 337 1017.3  16.6  16.8 999.0 99.0 99.00
2013 09 08 14 50   5  8.1 10.5  1.64  5.00  4.98 358 1017.6  16.6  16.7 999.0 99.0 99.00
2013 09 08 15 50   8  8.4  9.8  1.58  5.00  4.82 351 1017.8  16.5  16.5 999.0 99.0 99.00
2013 09 08 16 50   1  7.9 10.1  1.55  5.56  4.78 344 1018.0  16.9  16.6 999.0 99.0 99.00
2013 09 08 17 50  11  8.4 10.3  1.47  5.56  4.78 343 1018.3  17.0  16.6 999.0 99.0 99.00
2013 09 08 18 50   9  8.5  9.8  1.48  5.26  4.73 338 1018.4  16.9  16.6 999.0 99.0 99.00
2013 09 08 19 50 358  7.5  9.1  1.46  5.88  4.74 340 1018.3  17.1  16.7 999.0 99.0 99.00
2013 09 08 20 50 350 10.4 12.4  1.57  5.56  4.83 349 1018.0  16.9  16.8 999.0 99.0 99.00
2013 09 08 21 50   1  8.8 10.2  1.51  6.25  4.71 331 1017.8  17.1  16.9 999.0 99.0 99.00
